,sentence,polarity
0,I try not to adjust the volume setting to avoid that I turn off the call button which is situated just below the volume adjustment knob.,2
1,So there is no way for me to plug it in here in the US unless I go by a converter.,0
2,"Good case, Excellent value.",1
3,I thought Motorola made reliable products!.,2
4,Battery for Motorola Razr.,2
5,Great for the jawbone.,1
6,When I got this item it was larger than I thought It was the size of a small video game but bulky.,2
7,(I looked for one that specifically said DCU-60 and said it supported USB 1 and 2.,2
8,The first time it was turned on the screen display began to flicker.,2
9,In some programs clicking it is the same as hitting the return key.,2
10,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
11,The mic is great.,1
12,"What happened was that I only had like 70 contacts but the SIM memory said I had 250, and that all my SIM memory was full.",2
13,I have to jiggle the plug to get it to line up right to get decent volume.,0
14,I bought five of thes for less than five dollars.,2
15,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0
16,I had the two year contract for this service.,2
17,If you are Razr owner...you must have this!,1
18,"Needless to say, I wasted my money.",0
19,If money is no constraint then just go for it.,2
20,Try texting fast with it...4.,2
21,What a waste of money and time!.,0
22,"If you buy this phone and have problems, you need to contact customer service.",2
23,This company will not give me back all of my money back because of their mistakes written in their review that said is made for the Dell Streak.,2
24,And the sound quality is great.,1
25,It made sense.,2
26,He was very impressed when going from the original battery to the extended battery.,1
27,Others have complained of chipping paint but in the week I've been using this it hasn't chipped yet.,2
28,"I'm giving it a third try because I really want this phone to work properly, it has such great potential to be an invaluable business tool.",2
29,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0
30,These are sealed packages by Motorola there is no way that Motorola would put the wrong charger with the wrong unit.,2
31,It made the images look so grainy that you just could not appreciate the beautiful AMOLED screen anymore.,2
32,Very good quality though,1
33,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0
34,Highly recommend for any one who has a blue tooth phone.,1
35,the pda package runs $40 a month plus $40 a month for service.,2
36,I advise EVERYONE DO NOT BE FOOLED!,0
37,I only took it off approximately 3 times and babied it when I did.,2
38,"Unfortunately, I opened both so now I have (2).",2
39,So Far So Good!.,1
40,Works great!.,1
41,It clicks into place in a way that makes you wonder how long that mechanism would last.,0
42,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0
43,"Also to adjust the call volume you have to be talking, just push the over button to the left or right.",2
44,I have patiently waited for a blackberry with Bluetooth and it came!,2
45,I bought this to use with my Kindle Fire and absolutely loved it!,1
46,After this month-long reparte with the J.D.,2
47,"Not too bad, I can still use the handset (Motorola E815) to switch between calls.Power button is TINY.",2
48,I choose this because i liked the disign and i thought motorola made good products.,2
49,"The battery life is about 2-3x the life of the battery that it is replacing, and as best I can remember about the same as the phone when new.",2
50,My initial impression was the sound quality was good but the workmanship was cheap.,2
51,The commercials are the most misleading.,0
52,The first one I washed in my jean's pocket.,2
53,"In general, I could see phones having satellite or HD radio on them in the near future.7) Bluetooth capability.",2
54,I have yet to run this new battery below two bars and that's three days without charging.,1
55,Press the center button.3.,2
56,I bought it for my mother and she had a problem with the battery.,0
57,I probably was prepared for the worst.,2
58,"!Unlike others here I have managed to scar the finish...(what can I say, I'm talented) but nothing that causes the phone to be unusable.",2
59,Great Pocket PC / phone combination.,1
60,I'd pay a few bucks more for the player with these included and you would probably increase your profit margins to boot.,2
61,"The on/off switch is the antenna, which pops in and out to turn the unit on or off.",2
62,No such thing.,2
63,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1
64,I didn't think that the instructions provided were helpful to me.,0
65,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0
66,Doesn't hold charge.,0
67,"This is a simple little phone to use, but the breakage is unacceptible.",0
68,"Since it consumes considerable amount of power, it goes to standby mode quickly and then, when you power it up, it is very slow to get signals.",2
69,This product is ideal for people like me whose ears are very sensitive.,1
70,I have missed more than 50% calls attended on this phone.,2
71,It is unusable in a moving car at freeway speed.,0
72,I just bought this headset for use with an LG VX-8300.,2
73,I have two more years left in this contract and I hate this phone.,0
74,"I bought these on sale at a tmobile store b/c i needed a new bluetooth and thought ""wow sterio bluetooth"".",2
75,I bought this charger for my Pantech PN-215.,2
